Card #,Challenge Short Text,Date,Tag,Image URL
1,Pick up and scan your DeFiConnect POAP card at entrance check-in.,18 - 19 Nov,Entrance,https://assets.poap.xyz/021e395f-af4c-4c44-a506-b3d56e6c56ad.png
2,Attend the Morpho Fireside Chat at the Vault Summit (Nov 18 only).,18 Nov - 2:10PM - 2:35PM,Stage Area,https://assets.poap.xyz/fa4c5805-2926-443b-b218-4ae34aa9610a.png
3,Attend Railgun Privacy & Compliance Panel (Nov 19 only).,19 Nov - 3:10PM - 3:50PM,Main Stage,https://assets.poap.xyz/0b84a4f8-bfab-42bd-a381-6bedccf17490.png
4,Find and say hi to the Curve rep and join their Telegram group.,18 - 19 Nov,Venue,https://assets.poap.xyz/00108290-808b-43ed-9fea-6c676dcf3721.png
5,Visit Katana’s Booth - follow Katana on X to collect your POAP.,18 - 19 Nov,Booth,https://assets.poap.xyz/3c519cb8-9339-4bb6-817d-71587859662a.png
6,Stop by Symbiotic’s Booth - follow on X and fill out a short form.,18 - 19 Nov,Booth,https://assets.poap.xyz/3347408f-d3af-4312-8c62-35fdb351498b.png
7,Attend Velora’s Workshop and tap the poster in the area (Nov 19 only).,19 Nov - 2:30PM - 3:30PM,Co-working Zone,https://assets.poap.xyz/573171ba-17e0-4709-af2f-175284262117.png
8,Attend a Fenbushi Workshop and tap the poster (Nov 18 only).,18 Nov - 11AM - 4PM,Workshop Area,https://assets.poap.xyz/26aa745a-1941-41d8-ad89-c93d7dce69cc.png
9,Visit Aragon Container Space and tap the poster.,18 - 19 Nov,Container Space,https://assets.poap.xyz/0627466c-3724-4360-8019-18446514b40a.png
10,"Tweet a picture at the Aleo Booth, tag @AleoH, and claim your POAP.",18 - 19 Nov,Booth,https://assets.poap.xyz/866f8994-e131-4fae-bb3c-73d6ad1f74f6.png
11,Visit Avantgarde - follow on X and fill out their short form.,18 - 19 Nov,Booth,https://assets.poap.xyz/d3b4c9e3-b1c4-47aa-b8de-a44ad17c4d06.png
12,Stop by Celo’s Booth - follow Celo on X.,18 - 19 Nov,Booth,https://assets.poap.xyz/ceceabef-8232-465a-9958-59c9c8a53487.png
13,Follow Enzyme on X & LinkedIn to earn your POAP.,18 - 19 Nov,Booth,https://assets.poap.xyz/0f71dfc2-1977-4175-b263-3fb4bb6e9ffc.png
14,Visit Gauntlet’s Booth - follow on X to claim your POAP.,18 - 19 Nov,Booth,https://assets.poap.xyz/2ef78648-5d4a-4b3e-a313-9c1e6b6c385a.png
15,Visit Hyve DA’s Booth - follow them on X to unlock your POAP.,18 - 19 Nov,Booth,https://assets.poap.xyz/266d2587-b919-4c58-8e42-59e9cb0dcb48.png
16,"Take a selfie with your Spark Card, tag @sparkdotfi, or follow on X.",18 - 19 Nov,Booth,https://assets.poap.xyz/aeb2dbf5-91ba-4937-a1d5-240d6338468c.png
17,Tap to mint your POAP at the Steakhouse Financial Booth.,18 - 19 Nov,Booth,https://assets.poap.xyz/54f1e021-b899-4a6e-b488-e954f0abe867.png
18,Take the Grip Challenge at Tellor Booth.,18 - 19 Nov,Booth,https://assets.poap.xyz/d9fa9dd8-7930-4c30-8c26-2ab1681ebaf6.png
19,Follow Twin Finance & Join Waitlist to claim the twin's products.,18 - 19 Nov,Booth,https://assets.poap.xyz/83e4014f-34d6-4a58-a401-4d2d24962328.png
20,Attend DeFiConnect X Space Live Session,11 Nov - 4PM CET,Online,https://assets.poap.xyz/fe74072b-292f-4ed9-affc-5e006e371a2d.png
